
list-none-none,1,10,1,30,99744,3324
list-none-none,1,100,1,300,121118,403
list-none-none,1,1000,1,3000,3939513,1313
list-none-none,1,10000,1,30000,700235637,23341
list-none-none,1,20000,1,60000,3754710901,62578
list-d-none,2,1,1,6,149020,24836
list-i-none,2,1,1,6,113950,18991
list-il-none,2,1,1,6,70988,11831
list-dl-none,2,1,1,6,137228,22871
list-d-none,4,1,1,12,172791,14399
list-i-none,4,1,1,12,113479,9456
list-il-none,4,1,1,12,139880,11656
list-dl-none,4,1,1,12,162770,13564
list-d-none,8,1,1,24,212173,8840
list-i-none,8,1,1,24,296483,12353
list-il-none,8,1,1,24,238419,9934
list-dl-none,8,1,1,24,266640,11110
list-d-none,12,1,1,36,332847,9245
list-i-none,12,1,1,36,293924,8164
list-il-none,12,1,1,36,344390,9566
list-dl-none,12,1,1,36,294254,8173
list-d-none,2,2,1,12,71035,5919
list-i-none,2,2,1,12,88001,7333
list-il-none,2,2,1,12,78238,6519
list-dl-none,2,2,1,12,112888,9407
list-d-none,4,2,1,24,149262,6219
list-i-none,4,2,1,24,91672,3819
list-il-none,4,2,1,24,159021,6625
list-dl-none,4,2,1,24,170249,7093
list-d-none,8,2,1,48,209494,4364
list-i-none,8,2,1,48,194086,4043
list-il-none,8,2,1,48,223815,4662
list-dl-none,8,2,1,48,206347,4298
list-d-none,12,2,1,72,278028,3861
list-i-none,12,2,1,72,304248,4225
list-il-none,12,2,1,72,243226,3378
list-dl-none,12,2,1,72,245635,3411
list-d-none,2,4,1,24,56024,2334
list-i-none,2,4,1,24,113464,4727
list-dl-none,2,4,1,24,111954,4664
list-d-none,4,4,1,48,170317,3548
list-i-none,4,4,1,48,86929,1811
list-dl-none,4,4,1,48,170177,3545
list-il-none,8,4,1,96,184513,1922
list-dl-none,8,4,1,96,193385,2014
list-d-none,12,4,1,144,303764,2109
list-i-none,12,4,1,144,294854,2047
list-il-none,12,4,1,144,289110,2007
list-d-none,2,8,1,48,90721,1890
list-i-none,2,8,1,48,65438,1363
list-il-none,2,8,1,48,118450,2467
list-dl-none,4,8,1,96,143799,1497
list-d-none,8,8,1,192,197081,1026
list-i-none,8,8,1,192,197157,1026
list-il-none,8,8,1,192,250688,1305
list-d-none,12,8,1,288,290632,1009
list-i-none,12,8,1,288,311568,1081
list-d-none,2,16,1,96,93477,973
list-il-none,2,16,1,96,99397,1035
list-dl-none,2,16,1,96,125945,1311
list-i-none,4,16,1,192,174114,906
list-dl-none,4,16,1,192,209058,1088
list-i-none,8,16,1,384,1433102,3732
list-il-none,8,16,1,384,355988,927
list-d-none,12,16,1,576,289335,502
list-d-none,2,32,1,192,75382,392
list-il-none,2,32,1,192,239870,1249
list-dl-none,2,32,1,192,261484,1361
list-d-none,4,32,1,384,201875,525
list-il-none,4,32,1,384,478953,1247
list-dl-none,4,32,1,384,465932,1213
list-il-none,8,32,1,768,940738,1224
list-il-none,12,32,1,1152,1429622,1240
list-d-s,2,1,1,6,118152,19692
list-i-s,2,1,1,6,76017,12669
list-dl-s,2,1,1,6,181553,30258
list-il-s,2,1,1,6,101628,16938
list-d-m,2,1,1,6,113311,18885
list-i-m,2,1,1,6,81976,13662
list-il-m,2,1,1,6,74489,12414
list-dl-m,2,1,1,6,83856,13976
list-d-s,4,1,1,12,99896,8324
list-i-s,4,1,1,12,124344,10362
list-dl-s,4,1,1,12,149053,12421
list-il-s,4,1,1,12,99058,8254
list-d-m,4,1,1,12,169011,14084
list-i-m,4,1,1,12,169590,14132
list-il-m,4,1,1,12,88226,7352
list-dl-m,4,1,1,12,196659,16388
list-d-s,8,1,1,24,226117,9421
list-i-s,8,1,1,24,178086,7420
list-dl-s,8,1,1,24,199127,8296
list-il-s,8,1,1,24,184407,7683
list-d-m,8,1,1,24,180218,7509
list-i-m,8,1,1,24,177862,7410
list-il-m,8,1,1,24,199353,8306
list-dl-m,8,1,1,24,229706,9571
list-d-s,12,1,1,36,270267,7507
list-i-s,12,1,1,36,277465,7707
list-dl-s,12,1,1,36,283826,7884
list-il-s,12,1,1,36,294012,8167
list-d-m,12,1,1,36,429654,11934
list-i-m,12,1,1,36,418568,11626
list-il-m,12,1,1,36,322500,8958
list-dl-m,12,1,1,36,945807,26272
list-d-s,2,2,1,12,104064,8672
list-i-s,2,2,1,12,127425,10618
list-dl-s,2,2,1,12,112221,9351
list-il-s,2,2,1,12,77496,6458
list-d-m,2,2,1,12,111628,9302
list-i-m,2,2,1,12,102759,8563
list-il-m,2,2,1,12,112482,9373
list-dl-m,2,2,1,12,115412,9617
list-d-s,4,2,1,24,138610,5775
list-i-s,4,2,1,24,158062,6585
list-dl-s,4,2,1,24,104174,4340
list-il-s,4,2,1,24,119810,4992
list-d-m,4,2,1,24,119455,4977
list-i-m,4,2,1,24,119350,4972
list-il-m,4,2,1,24,173740,7239
list-dl-m,4,2,1,24,144759,6031
list-d-s,8,2,1,48,221046,4605
list-i-s,8,2,1,48,208765,4349
list-dl-s,8,2,1,48,198458,4134
list-il-s,8,2,1,48,188364,3924
list-d-m,8,2,1,48,190162,3961
list-i-m,8,2,1,48,219567,4574
list-il-m,8,2,1,48,205920,4290
list-dl-m,8,2,1,48,1432515,29844
list-d-s,12,2,1,72,252260,3503
list-i-s,12,2,1,72,231727,3218
list-dl-s,12,2,1,72,272743,3788
list-il-s,12,2,1,72,288286,4003
list-d-m,12,2,1,72,332643,4620
list-i-m,12,2,1,72,254589,3535
list-il-m,12,2,1,72,276928,3846
list-dl-m,12,2,1,72,293878,4081
list-d-s,2,4,1,24,101593,4233
list-i-s,2,4,1,24,64148,2672
list-dl-s,2,4,1,24,104139,4339
list-il-s,2,4,1,24,102256,4260
list-d-m,2,4,1,24,105916,4413
list-i-m,2,4,1,24,75711,3154
list-il-m,2,4,1,24,114664,4777
list-dl-m,2,4,1,24,113413,4725
list-d-s,4,4,1,48,106631,2221
list-i-s,4,4,1,48,145184,3024
list-dl-s,4,4,1,48,175032,3646
list-il-s,4,4,1,48,185611,3866
list-d-m,4,4,1,48,178386,3716
list-i-m,4,4,1,48,90447,1884
list-il-m,4,4,1,48,209850,4371
list-dl-m,4,4,1,48,163243,3400
list-d-s,8,4,1,96,235024,2448
list-i-s,8,4,1,96,209110,2178
list-dl-s,8,4,1,96,186169,1939
list-il-s,8,4,1,96,232885,2425
list-d-m,8,4,1,96,242564,2526
list-i-m,8,4,1,96,216902,2259
list-il-m,8,4,1,96,213235,2221
list-dl-m,8,4,1,96,339135,3532
list-d-s,12,4,1,144,309934,2152
list-i-s,12,4,1,144,283202,1966
list-dl-s,12,4,1,144,328221,2279
list-il-s,12,4,1,144,480494,3336
list-d-m,12,4,1,144,309438,2148
list-i-m,12,4,1,144,310713,2157
list-il-m,12,4,1,144,509383,3537
list-dl-m,12,4,1,144,348400,2419
list-d-s,2,8,1,48,398677,8305
list-i-s,2,8,1,48,93836,1954
list-dl-s,2,8,1,48,119149,2482
list-il-s,2,8,1,48,121357,2528
list-d-m,2,8,1,48,74043,1542
list-i-m,2,8,1,48,107787,2245
list-il-m,2,8,1,48,151657,3159
list-dl-m,2,8,1,48,181438,3779
list-d-s,4,8,1,96,100256,1044
list-i-s,4,8,1,96,131666,1371
list-dl-s,4,8,1,96,180597,1881
list-il-s,4,8,1,96,103928,1082
list-d-m,4,8,1,96,181511,1890
list-i-m,4,8,1,96,175423,1827
list-il-m,4,8,1,96,144661,1506
list-dl-m,4,8,1,96,179810,1873
list-d-s,8,8,1,192,232480,1210
list-i-s,8,8,1,192,218346,1137
list-dl-s,8,8,1,192,254977,1328
list-il-s,8,8,1,192,212037,1104
list-d-m,8,8,1,192,231333,1204
list-i-m,8,8,1,192,191163,995
list-il-m,8,8,1,192,397102,2068
list-dl-m,8,8,1,192,274821,1431
list-d-s,12,8,1,288,323876,1124
list-i-s,12,8,1,288,1090907,3787
list-dl-s,12,8,1,288,298791,1037
list-il-s,12,8,1,288,315864,1096
list-d-m,12,8,1,288,283846,985
list-i-m,12,8,1,288,284257,987
list-il-m,12,8,1,288,567699,1971
list-dl-m,12,8,1,288,693402,2407
list-d-s,2,16,1,96,85780,893
list-i-s,2,16,1,96,120857,1258
list-dl-s,2,16,1,96,121770,1268
list-il-s,2,16,1,96,212869,2217
list-d-m,2,16,1,96,188477,1963
list-i-m,2,16,1,96,120612,1256
list-il-m,2,16,1,96,194796,2029
list-dl-m,2,16,1,96,163029,1698
list-d-s,4,16,1,192,180160,938
list-i-s,4,16,1,192,186460,971
list-dl-s,4,16,1,192,441122,2297
list-il-s,4,16,1,192,401714,2092
list-d-m,4,16,1,192,234560,1221
list-i-m,4,16,1,192,228333,1189
list-il-m,4,16,1,192,473423,2465
list-dl-m,4,16,1,192,361155,1881
list-d-s,8,16,1,384,387367,1008
list-i-s,8,16,1,384,615712,1603
list-dl-s,8,16,1,384,1150730,2996
list-il-s,8,16,1,384,1156094,3010
list-d-m,8,16,1,384,499541,1300
